road,id,model_type,condition,name,lat,lon,length
N1,1002209,link,,Box culvert,21.1586667,92.1525,328.4999999999627
N1,1002210,link,,Box culvert,21.1556389,92.1527778,216.99999999998454
N1,1002211,link,,Box culvert,21.1537778,92.1528611,171.30000000003065
N1,1002212,bridge,C,PALONG KHALI BAZAR (1),21.1524632792452,92.1534145867924,9.4
N1,1002213,link,,Box culvert,21.1537778,92.1528611,31.29999999998745
N1,1002214,link,,Box culvert,21.1521944,92.1535278,197.99999999997908
N1,1002215,link,,Info.Missing,21.1507222,92.1545,124.39999999998008
N1,1002216,bridge,C,PALONG KHALI BAZAR BRIDGE,21.1498906490706,92.1552156215613,15.2
N1,1002217,bridge,C,Palong Khali Bazar Bridge,21.1498906490706,92.1552156215613,15.2
N1,1002218,link,,Info.Missing,21.1507222,92.1545,300.3999999999678
N1,1002219,bridge,C,PALONG KHALI RCC GIDER BRIDGE,21.1477676743494,92.1570426250929,58.0
N1,1002220,bridge,A,Palong Khali Bridge,21.1477676743494,92.1570426250929,57.6
N1,1002221,link,,Info.Missing,21.1507222,92.1545,40.000000000020464
N1,1002222,link,,Box culvert,21.147333,92.1574167,368.99999999997135
N1,1002223,link,,Bridge start,21.1442774,92.1586389,19.000000000005457
N1,1002224,link,,Bridge end,21.1441663,92.1586944,81.00000000001728
N1,1002225,link,,Teknaf 38 km,21.1435274,92.1589722,118.35000000002083
N1,1002226,bridge,B,KARUN TOLI RCC GIDER BRIDGE,21.1425462548387,92.159429216129,3.3
N1,1002227,link,,Teknaf 38 km,21.1435274,92.1589722,126.35000000000218
N1,1002228,link,,Bridge start,21.1414997,92.1599167,60.99999999997863
N1,1002229,link,,Bridge end,21.1410552,92.1602222,31.300000000044292
N1,1002230,bridge,C,Karontoli Bridge,21.1408647661691,92.1605222283582,15.4
N1,1002231,bridge,C,GIRA TALI RCC GIDER BRIDGE,21.1408647661691,92.1605222283582,15.4
N1,1002232,link,,Bridge end,21.1410552,92.1602222,124.64999999997417
N1,1002233,bridge,A,GIVATOLI RCC GIDER BRIDGE,21.140210455058,92.1615530950248,3.3
N1,1002234,link,,Bridge end,21.1410552,92.1602222,267.70000000004757
N1,1002235,bridge,A,GIVA TOLI RCC GIDER BRIDGE,21.1388871840796,92.1636379074626,3.3
N1,1002236,link,,Bridge end,21.1410552,92.1602222,157.3500000000081
N1,1002237,link,,Box culvert,21.1381108,92.1648611,36.40000000001464
N1,1002238,bridge,A,GIVA TOLI BOX CULVERT,21.1380664956896,92.1651978,1.2
N1,1002239,link,,Box culvert,21.1381108,92.1648611,78.39999999998781
N1,1002240,link,,Info.Missing,21.1379719,92.1659167,28.99999999993952
N1,1002241,bridge,C,GIVATOLI RCC GIDER BRIDGE,21.1379210829268,92.1663534195121,32.0
N1,1002242,link,,Info.Missing,21.1379719,92.1659167,62.00000000001182
N1,1002243,link,,Box culvert,21.137833,92.1671104,97.849999999994
N1,1002244,bridge,D,Kata Khali Bridge,21.1376124564885,92.1680587053435,12.3
N1,1002245,bridge,D,KATA KHALI RCC GIDER BRIDGE,21.1376124564885,92.1680587053435,12.3
N1,1002246,link,,Box culvert,21.137833,92.1671104,20.849999999995816
N1,1002247,link,,Box culvert,21.1375552,92.1683049,178.40000000001055
N1,1002248,bridge,C,ULI BANIA BOX CULVERT,21.1373350498154,92.1700112125461,1.2
N1,1002249,link,,Box culvert,21.1375552,92.1683049,91.39999999996462
N1,1002250,link,,Box culvert,21.1372219,92.1708882,199.99999999998863
N1,1002251,link,,Box culvert,21.1371108,92.1727771,120.00000000000455
N1,1002252,link,,Bridge start,21.1368886,92.173916,30.00000000002956
N1,1002253,link,,Bridge end,21.1367219,92.1741382,34.39999999994825
N1,1002254,bridge,C,Porbo Kata Khali Bridge,21.1366125359375,92.1745027796875,15.2
N1,1002255,bridge,B,KHARA KANDI RCC GIDER BRIDGE,21.1366125359375,92.1745027796875,15.2
N1,1002256,link,,Bridge end,21.1367219,92.1741382,78.39999999998781
N1,1002257,link,,Info.Missing,21.1363886,92.1752493,31.999999999982265
N1,1002258,link,,Box culvert,21.1363608,92.1755549,67.59999999997035
N1,1002259,bridge,A,ULUBANIA RCC GIDER BRIDGE,21.1360412976525,92.1760569938967,4.8
N1,1002260,link,,Box culvert,21.1363608,92.1755549,140.60000000000628
N1,1002261,link,,Box culvert,21.1353886,92.1770827,116.34999999995443
N1,1002262,bridge,C,ULIBANIA BOX CULVERT,21.1349149157894,92.1779379605263,1.3
N1,1002263,link,,Box culvert,21.1353886,92.1770827,164.70000000003893
N1,1002264,bridge,A,DMONIR GONA RCC GIDER BRIDGE,21.1342388024291,92.179158717004,3.3
N1,1002265,link,,Box culvert,21.1353886,92.1770827,208.34999999999582
N1,1002266,link,,Bridge start,21.1333886,92.1806938,16.999999999995907
N1,1002267,link,,Bridge end,21.1333608,92.1808327,176.00000000004457
N1,1002268,link,,Box culvert,21.1329438,92.1824438,96.99999999997999
N1,1002269,link,,Info.Missing,21.1326938,92.183333,159.99999999996817
N1,1002270,link,,Box culvert,21.1319716,92.1846108,10.650000000055115
N1,1002271,bridge,B,BALUR KHALI -(1) RCC GIDER BRIDGE,21.1318968873563,92.1846917362069,4.7
N1,1002272,link,,Box culvert,21.1319716,92.1846108,158.65000000002283
N1,1002273,link,,Box culvert,21.1309716,92.1856941,164.3999999999437
N1,1002274,bridge,C,BALU KHALI -2 BOX CULVERT,21.1299737216216,92.1868158522522,1.2
N1,1002275,link,,Box culvert,21.1309716,92.1856941,29.450000000053933
N1,1002276,bridge,B,BALU KHALI-3 BOX CULVERT,21.1297680981982,92.1870470012012,7.9
N1,1002277,bridge,D,Balu Khali Bridge,21.1297680981982,92.1870470012012,7.9
N1,1002278,link,,Box culvert,21.1309716,92.1856941,121.44999999998163
N1,1002279,bridge,A,W HIME KANG BOX CULVERT,21.1290060819819,92.187903612012,1.2
N1,1002280,link,,Box culvert,21.1309716,92.1856941,111.79999999995971
N1,1002281,bridge,A,WHIKE KANG BOX CULVERT,21.1283226864864,92.1886718423423,1.2
N1,1002282,link,,Box culvert,21.1309716,92.1856941,75.79999999995835
N1,1002283,bridge,B,WHIKE KANG BOX CULVERT,21.1278570099099,92.1891953267267,1.2
N1,1002284,link,,Box culvert,21.1309716,92.1856941,150.39999999999054
N1,1002285,link,,Km post missing,21.1269438,92.1902219,12.000000000000455
N1,1002286,link,,Box culvert,21.1268327,92.1902774,224.8000000000161
N1,1002287,bridge,A,wheke kang (1),21.125103688724,92.1913674700296,6.4
N1,1002288,bridge,D,Wheke Kang Bridge,21.125103688724,92.1913674700296,6.4
N1,1002289,link,,Box culvert,21.1268327,92.1902774,105.7999999999879
N1,1002290,link,,Box culvert,21.1242771,92.1918886,40.99999999999682
N1,1002291,link,,Box culvert,21.1239993,92.1919997,30.32500000000482
N1,1002292,bridge,A,WHIKE KANG BRIDGE,21.1237604940298,92.1921588880597,3.35
N1,1002293,link,,Box culvert,21.1239993,92.1919997,100.32500000005484
N1,1002294,link,,Box culvert,21.1229993,92.1926663,5.499999999983629
N1,1002295,bridge,C,MOA EX-KANG-BAZAR,21.1229108079646,92.1927223495575,13.0
N1,1002296,bridge,C,Moa Ex Kang Bridge,21.1229108079646,92.1927223495575,13.0
N1,1002297,link,,Box culvert,21.1229993,92.1926663,42.899999999974625
N1,1002298,bridge,A,HOA EX KANG BAZAE,21.1225347168141,92.1929605601769,3.2
N1,1002299,link,,Box culvert,21.1229993,92.1926663,48.4000000000151
N1,1002300,link,,Box culvert,21.122166,92.1931941,39.3500000000131
N1,1002301,bridge,C,HOACX KANG BARAR,21.1215698917647,92.1935169658823,73.3
N1,1002302,bridge,B,Hoacx Kang Barbar Bridge,21.1215698917647,92.1935169658823,72.6
N1,1002303,link,,Box culvert,21.1214993,92.1935552,255.34999999996444
N1,1002304,link,,Info.Missing,21.1198604,92.1954719,110.99999999999
N1,1002305,link,,Box culvert,21.1190827,92.1960274,78.29999999995607
N1,1002306,bridge,A,AMTULI BOX CULVERT,21.1184609383419,92.1962922290155,3.4
N1,1002307,link,,Box culvert,21.1190827,92.1960274,111.29999999997153
N1,1002308,link,,Box culvert,21.1175827,92.1966663,127.00000000000955
N1,1002309,link,,Box culvert,21.1165,92.1969163,51.000000000044565
N1,1002310,link,,Box culvert,21.1161389,92.1969997,19.59999999996853
N1,1002311,bridge,A,TASSI-PARA BAR,21.1159743461538,92.1970744923076,2.8
N1,1002312,link,,Box culvert,21.1161389,92.1969997,16.600000000039472
