road,id,model_type,condition,name,lat,lon,length
N1,1000000,sourcesink,,SoSi23,23.7060278,90.443333,1.0
N1,1000001,link,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,814.0
N1,1000002,link,,Box Culvert,23.7029167,90.4504167,8.000000000000007
N1,1000003,link,,Intersection with Z1101,23.7027778,90.4504722,178.00000000000006
N1,1000004,link,,Km post missing,23.7021389,90.4519722,794.3500000000001
N1,1000005,bridge,A,.,23.69873866,90.4588610799999,11.3
N1,1000006,link,,Km post missing,23.6978886,90.4605833,129.9999999999999
N1,1000007,link,,Box culvert,23.6973608,90.4616667,870.0000000000001
N1,1000008,link,,Km post missing,23.693833,90.4691382,1000.0
N1,1000009,link,,Km post missing,23.6936108,90.4787771,174.99999999999983
N1,1000010,link,,Road to Narayanganj(R111),23.6938052,90.4805271,746.6999999999997
N1,1000011,bridge,A,.,23.6946638363636,90.4877749181818,6.6
N1,1000012,link,,Km post missing,23.6947497,90.4884997,1000.0
N1,1000013,link,,Km post missing,23.6959163,90.4981941,1000.0
N1,1000014,link,,Km post missing,23.697333,90.50775,181.00000000000006
N1,1000015,link,,"R110,Left to Demra, Right to Narayanganj",23.6979163,90.5092778,819.0
N1,1000016,link,,Km post missing,23.7020556,90.5157222,10.999999999999233
N1,1000017,link,,Kachpur bridge,23.7021111,90.5157778,418.000000000001
N1,1000018,link,,Bridge end,23.7045833,90.5188327,73.99999999999984
N1,1000019,link,,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,259.9999999999998
N1,1000020,sourcesink,,SoSi10,23.7060833,90.5215271,1.0
N1,1000021,intersection,,,23.7060833,90.5215271,20.0
N1,1000022,link,,Road to Sylhet (N2),23.7060833,90.5215271,14.500000000001734
N1,1000023,bridge,A,Kanch pur Bridge.,23.7050598925675,90.5232141463513,394.23
N1,1000024,link,,Km post missing,23.7025278,90.5273882,112.0000000000001
N1,1000025,link,,Box culvert,23.7015278,90.5281938,347.999999999999
N1,1000026,link,,Box culvert,23.6998608,90.5307216,414.0000000000015
N1,1000027,link,,Box culvert,23.6974163,90.5337774,125.99999999999945
N1,1000028,link,,Km post missing,23.6966386,90.5348052,35.99999999999959
N1,1000029,bridge,B,KATCHPUR BOX CULVERT,23.6964000869109,90.5350989801047,8.0
N1,1000030,bridge,A,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3
N1,1000031,link,,Box culvert,23.6943608,90.5376108,8.85000000000069
N1,1000032,bridge,A,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3
N1,1000033,bridge,A,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3
N1,1000034,link,,Box culvert,23.6922774,90.5410552,183.99999999999926
N1,1000035,link,,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,247.99999999999932
N1,1000036,link,,Bridge start,23.6911108,90.5448886,26.000000000001577
N1,1000037,link,,Bridge end,23.6910552,90.5451386,31.69999999999895
N1,1000038,bridge,B,NAYABARI BOX CULVERT,23.6909119315151,90.5454624957575,10.6
N1,1000039,sourcesink,,SoSi8,23.6904163,90.546583,1.0
N1,1000040,intersection,,,23.6904163,90.546583,20.0
N1,1000041,link,,Right to Syedpur (R113) left to Joydebpur N105),23.6904163,90.546583,298.350000000001
N1,1000042,bridge,A,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3
N1,1000043,bridge,A,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1
N1,1000044,link,,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,122.25000000000108
N1,1000045,bridge,A,Madanpur Bridge.(L),23.685583027027,90.551207981081,27.5
N1,1000046,link,,Box culvert,23.6854997,90.5512778,0.5000000000006111
N1,1000047,bridge,A,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5
N1,1000048,link,,Km post missing,23.678166,90.5556111,44.05000000000037
N1,1000049,bridge,A,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9
N1,1000050,link,,Km post missing,23.670916,90.5597778,39.00000000000148
N1,1000051,link,,Box culvert,23.6705827,90.5599722,899.2249999999995
N1,1000052,bridge,B,MALIBAG BOX CULVERT,23.6633090696149,90.563856994797,5.55
N1,1000053,link,,Km post missing,23.6628333,90.5641111,411.00000000000136
N1,1000054,link,,Road to MinanbariZ1061),23.6604167,90.5671104,307.0000000000004
N1,1000055,link,,Langalbandhu bridge,23.6591111,90.5697216,160.00000000000014
N1,1000056,link,,Bridge end,23.6583056,90.5709993,121.99999999999989
N1,1000057,link,,Km post missing,23.6575,90.5719716,306.99999999999864
N1,1000058,link,,Bridge start,23.6559722,90.5743327,21.000000000000796
N1,1000059,link,,Bridge end,23.6559167,90.5745271,202.23999999999975
N1,1000060,bridge,C,Langalbandh Bridge.,23.6544257051136,90.576730225,159.52
N1,1000061,bridge,A,Darikandi Bridge (R),23.65397226,90.57741042,20.45
N1,1000062,link,,Bridge start,23.6540556,90.5772771,1.7500000000012506
N1,1000063,link,,Bridge end,23.6539167,90.5774993,289.99999999999915
N1,1000064,link,,Km post missing,23.6525278,90.5798882,187.99999999999883
N1,1000065,bridge,B,DARIKANDI BRIDGE (R),23.6515705663716,90.5814943946902,20.0
N1,1000066,link,,Bridge start,23.6508889,90.5826382,41.00000000000037
N1,1000067,link,,Bridge end,23.6506944,90.5829993,176.24999999999957
N1,1000068,bridge,A,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,25.5
N1,1000069,link,,Km post missing,23.6476108,90.588083,197.7499999999992
N1,1000070,bridge,C,MOLLIK PARA BRIDGE (R),23.6459685949152,90.5892119813559,40.5
N1,1000071,link,,Box culvert,23.6449441,90.5899163,643.0000000000007
N1,1000072,link,,Box culvert,23.6397497,90.5926941,3.0000000000001137
N1,1000073,bridge,A,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0
N1,1000074,link,,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),23.6358608,90.5948052,297.9999999999983
N1,1000075,link,,Bridge start,23.6341108,90.5970274,49.80000000000118
N1,1000076,bridge,B,SHADIPUR BOX CULVERT,23.63380522,90.597394085,10.4
N1,1000077,link,,Bridge end,23.6335552,90.5976941,82.00000000000074
N1,1000078,link,,Km post missing,23.6330549,90.5982774,615.1249999999991
