scenario,mean_travel_time,median_travel_time,std_travel_time,vehicle_count,total_travel_time
0,200.1991499190399,175.0,131.91164753750388,251976,50445381
1,202.7023823704586,175.0,136.25989464090048,251850,51050595
2,244.0922321178961,212.0,170.9676634755372,250390,61118254
3,340.44051841912164,284.0,258.1521251913609,246673,83977484
4,706.065369502275,605.0,513.0828254521748,232096,163874948
